Province_id,Province_name,Year,Pop,Pop_den,Literate,Trained,GDPpc,Real_gdp_pc,Real_grdp,Agri,Indus,Service,tax_rev,cus_rev,Total_in,Domestic_in,FDI_in,Dom_in_rate,Registered_FDI,Nonpublic_wage,FDI_eachyear,Total_internet,Total_phones,Market_cost,Land_cost,Time_cost,Unofficial_cost,Proactive_leadership,Business_support,Legal_quality,Accum_FDI_pro,Accum_FDI,FDI_Projects,FDI_regis,Net-migration
40,Nghe An,2015,3160.6,0.2,96.9,17.3,28.1,19.1,60310,14733,15106,27529,2942,1007127,28980,,445,1,44,4551,4124,103600,,8.6,8.6,8.6,8.6,8.6,8.6,8.5,69,1640.6,15,206.3,
40,Nghe An,2016,3203.1,0.2,96.6,17.3,30.3,20.1,64503,15335,16795,29080,3293,1118537,37260,,675,1,65,5074,4755,150600,,8.9,5.4,6.3,4.4,5,5.7,5.3,75,1670,9,74.5,
40,Nghe An,2017,3246.7,0.2,96.8,19.9,33.1,21.4,69587,15969,18955,31146,3517,1536890,40180,,705,1,165,5469,4626,253560,,7.9,6.2,6.7,4.7,5.1,7.5,5.1,79,1820.9,4,123.5,
40,Nghe An,2018,3291.4,0.2,97.3,20.2,36.5,23,75660,16732,22015,33104,3808,1570672,43685,,565,1,71,5796,5179,262046,,7.6,7.1,6.2,4.7,5.6,7.5,5.9,84,1845.6,5,25.7,
40,Nghe An,2019,3337.2,0.2,97.4,20.7,40.3,24.5,81863,17579,24698,35388,4197,1699602,47749,,738,1,318,,,271359,,7.8,6.6,6.7,5.9,5.8,6.6,6.6,95,2158.2,11,315.1,
42,Ha Tinh,2015,1232.7,0.2,97.4,19.3,44.1,31.2,38453,6072,13721,13606,5051,5039270,65336,,51800,0.2,121,5223,11337,52960,,8.6,8.6,8.6,8.6,8.6,8.5,8.5,64,11265,10,162.2,
42,Ha Tinh,2016,1261.3,0.2,97.6,19.3,NA,#VALUE!,NA,NA,NA,NA,NA,NA,,,,,245,4909,12819,91609,,`,5,5.7,4.4,5.3,5.9,4.2,64,11593,9,393.8,
42,Ha Tinh,2017,1274.2,0.2,97.9,21.5,44.8,28.3,36097,6083,12025,14407,3580,2911030,23760,,10474,0.6,15,5162,11994,101439,,7.6,6,5.7,4.8,5.7,6.9,5.8,62,11613.2,7,118,
42,Ha Tinh,2018,1280.5,0.2,97.9,22.7,54.7,34.1,43621,6383,17829,15234,4174,5983060,23597,,11081,0.5,97,4950,13522,129548,,8.3,6.4,6.5,5.4,4.6,7,6,70,11714.6,8,132.8,
42,Ha Tinh,2019,1290.3,0.2,98.5,25,60.3,37,47740,6282,21101,16057,4299,6243170,17660,,3644,0.8,13,,,,,8.1,6.1,6.8,5.7,6.7,6.3,6.1,77,11729,7,32.6,
